Date,avg_rainfall
2016-08-01,21.81
2016-08-02,85.85333333333332
2016-08-03,25.223333333333336
2016-08-04,8.4
2016-08-05,14.2
2016-08-06,10.06
2016-08-07,6.226666666666666
2016-08-08,5.98
2016-08-09,5.336666666666667
2016-08-10,5.3966666666666665
2016-08-11,3.466666666666667
2016-08-12,2.1933333333333334
2016-08-13,2.8766666666666665
2016-08-14,2.43
2016-08-15,2.6
2016-08-16,2.0633333333333335
2016-08-17,1.9933333333333332
2016-08-18,1.7633333333333332
2016-08-19,1.7433333333333332
2016-08-20,1.59
2016-08-21,3.1966666666666668
2016-08-22,2.04
2016-08-23,4.659999999999999
2016-08-24,2.9433333333333334
2016-08-25,0.6566666666666666
2016-08-26,2.56
2016-08-27,3.3833333333333333
2016-08-28,7.093333333333334
2016-08-29,4.78
2016-08-30,3.21
2016-08-31,5.03
2016-09-01,10.936666666666667
2016-09-02,2.216666666666667
2016-09-03,1.3033333333333335
2016-09-04,0.15333333333333332
2016-09-05,0.45
2016-09-06,0.8566666666666668
2016-09-07,1.3133333333333332
2016-09-08,0.7733333333333333
2016-09-09,0.61
2016-09-10,0.5366666666666667
2016-09-11,0.5633333333333332
2016-09-12,0.3333333333333333
2016-09-13,2.0633333333333335
2016-09-14,6.493333333333334
2016-09-15,24.339999999999996
2016-09-16,40.9
2016-09-17,38.68
2016-09-18,16.080000000000002
2016-09-19,8.786666666666667
2016-09-20,13.816666666666666
2016-09-21,16.156666666666666
2016-09-22,15.106666666666666
2016-09-23,15.523333333333333
2016-09-24,20.073333333333334
2016-09-25,7.046666666666667
2016-09-26,3.89
2016-09-27,1.6266666666666665
2016-09-28,0.86
2016-09-29,0.93
2016-09-30,2.5833333333333335
2016-10-01,50.70666666666667
2016-10-02,14.42
2016-10-03,8.743333333333334
2016-10-04,5.173333333333334
2016-10-05,2.0766666666666667
2016-10-06,0.58
2016-10-07,0.7366666666666667
2016-10-08,1.88
2016-10-09,0.7033333333333333
2016-10-10,0.5866666666666667
2016-10-11,0.15666666666666668
2016-10-12,0.05
2016-10-13,0.14
2016-10-14,0.20666666666666667
2016-10-15,0.07
2016-10-16,0.0033333333333333335
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0033333333333333335
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.03333333333333333
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.15
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.05
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.020000000000000004
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
